SYSLOG_096_merged.LOG    |17.12 14:20:32.200000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.973571Z> 59E INF/TCOM/CCHH, TC_DMGR_RACH_SETUP_RESP_MSG from 0x1011016F, size: 76 cellId: 3679 status: 0 (EStatus_NoError) cause: 0 (ECause_NoCause) numOfFpIdList: 1
SYSLOG_096_merged.LOG    |17.12 14:20:32.200000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.973613Z> 59E DBG/TCOM/CCHH, FACH/PCH: [ fpId: 16 fpSicAddress: 0x14820221 transportChannelId: 1 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.973732Z> 59E INF/TCOM/CCHH, TC_TRANSPORT_BEARER_REGISTER_MSG to 0x10110331, size: 100 cellId: 3679 numConnections: 1 transactionId: 41943049
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.973770Z> 59E DBG/TCOM/CCHH, TB: [ bearerType: 1 (EBearerType_IP) transportId: 20017 fpId: 16 fpAddress: 0x14820221 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.980154Z> 59E INF/TCOM/CCHH, TC_TRANSPORT_BEARER_REGISTER_RESP_MSG from 0x10110331, size: 60 cellId: 3679 transactionId: 41943049 numConnections: 1 response: 2 (EResponseCond_AckCauseNotPresent) cause: 0
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.980206Z> 59E DBG/TCOM/CCHH, TBs: [ bearerType: 1 (EBearerType_IP) transportBearerId: 49544 transportId: 20017 btsIpta.id: 49676 btsIpta.path: 0xC0A80902 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.980303Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_RESP_MSG to 0x57130332, size: 472 transactionId: 17417
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.980801Z> 59E INF/TCOM/CCHH, TC_COMMON_CHANNEL_INFO_IND_MSG to 0x10110150, size: 528 cellId: 3679 numOfFach: 0 numOfPch: 0 numOfPich: 0 numOfRach: 1
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.980844Z> 59E DBG/TCOM/CCHH, RACH: [ commonTranspChannelId: 1 availabilityStatus: 0 resourceOperationalState: 0 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.210000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.980876Z> 59E DBG/TCOM/CCHH, AICH: [ commonPhysicalChannelId: 3 availabilityStatus: 0 resourceOperationalState: 0 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.221000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.980906Z> 59E DBG/TCOM/CCHH, PRACH: [ commonPhysicalChannelId: 2 availabilityStatus: 0 resourceOperationalState: 0 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.221000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.981132Z> 59E INF/TCOM/CCHH, TC_TRANSPORT_BEARER_SETUP_MSG from 0x10110331, size: 16 cellId: 3679 transactionId: 41943049 transportBearerId: 49544
SYSLOG_096_merged.LOG    |17.12 14:20:32.221000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.981193Z> 59E INF/TCOM/CCHH, TC_TRANSPORT_BEARER_SETUP_RESP_MSG to 0x10110331, size: 20 cellId: 3679 cause: 0 response: 2 (EResponseCond_AckCauseNotPresent)
SYSLOG_096_merged.LOG    |17.12 14:20:32.221000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.981373Z> 59E INF/TCOM/CCHH, TC_DMGR_RACH_ACTIVATION_REQ_MSG to 0x1011016F, size: 8 cellId: 3679 rachId: 2
SYSLOG_096_merged.LOG    |17.12 14:20:32.221000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985095Z> 59E INF/TCOM/CCHH, API_TCOM_RNC_MSG from 0x10110152, size: 290 timeStamp: 4295067959296
SYSLOG_096_merged.LOG    |17.12 14:20:32.221000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985144Z> 59E INF/TCOM/NC,  1/ 2 12: 000C22440A8104000003001900020E5F002B00010000244080F10700041E00010000050401104813050162120040007900808B28070400000050000100A850000200A85010C7340019000A015E000300664005603EAA0000006840091B803500010A0C0512026840020B8013A6400C0016B1000244000021000021400A02000000500001016850246D340019000A015E000300664005603EA90000006840091B803500010A0C0512026840020B8013
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985167Z> 59E INF/TCOM/NC,  2/ 2 A6400C0016B1000244000021000021009C004940050200000050000100505010D1340019000A015E000800032480000300664005603EAB0000006840091B803500010A0C0512026840020B8013A6400C001811000268000024000024
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985628Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_REQ_MSG from 0x140D016D, size: 2764 cellId: 3679 channelToBeConfChoice: 0 (ECommonPhysicalChannelToBeConfigChoice_SecondaryCCPCH) configGenerationId: 0 transactionId: 17418
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985669Z> 59E DBG/TCOM/CCHH, SCCPCH: [ commonPhysicalChannelId: 4 sCCPCHFrameOffset: 65535 sccpchOffset: 30 ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985711Z> 59E DBG/TCOM/CCHH, SCCPCH: [ tfcs.ctfc: 0 1 2 3 4 6  ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985810Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 7 bindingId: 1051328512 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985877Z> 59E DBG/TCOM/CCHH, FACH: [ commonTransportChannelId: 10 bindingId: 1051262976 maxFACHPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10 ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985943Z> 59E DBG/TCOM/CCHH, PCH: [ commonTransportChannelId: 5 bindingId: 1051394048 pchPower: 0 toAWS: 25 toAWE: 10 transportLayerAddress: 18.5.12.10
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.985973Z> 59E DBG/TCOM/CCHH, PICH: [ commonPhysicalChannelId: 8 pichPower: -8 ]
runtime_TELECOM.log      |FSP-140D-1-TCOMexe <2015-12-17T06:28:29.986004Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_REQ_MSG queued, cellId: 3679
